meal_date,meal_mess,availed_at,availed,day_of_week,is_weekend,availed_time_ist,availed_hour_ist
2026-04-01,kadamba-nonveg,2026-04-01 07:29:38.668183+05:30,True,Wednesday,False,07:29:38.668183,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:34:28.989089+05:30,True,Wednesday,False,07:34:28.989089,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:34:55.971712+05:30,True,Wednesday,False,07:34:55.971712,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:36:19.314233+05:30,True,Wednesday,False,07:36:19.314233,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:36:58.922198+05:30,True,Wednesday,False,07:36:58.922198,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:39:09.101447+05:30,True,Wednesday,False,07:39:09.101447,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:41:48.139541+05:30,True,Wednesday,False,07:41:48.139541,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:41:53.410293+05:30,True,Wednesday,False,07:41:53.410293,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:43:28.981217+05:30,True,Wednesday,False,07:43:28.981217,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:44:36.969184+05:30,True,Wednesday,False,07:44:36.969184,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:49:04.493700+05:30,True,Wednesday,False,07:49:04.493700,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:52:53.141327+05:30,True,Wednesday,False,07:52:53.141327,7.0
2026-04-01,kadamba-nonveg,2026-04-01 07:55:10.459503+05:30,True,Wednesday,False,07:55:10.459503,7.0
2026-04-01,kadamba-nonveg,2026-04-01 08:00:24.683162+05:30,True,Wednesday,False,08:00:24.683162,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:00:41.201641+05:30,True,Wednesday,False,08:00:41.201641,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:02:44.693275+05:30,True,Wednesday,False,08:02:44.693275,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:05:42.747210+05:30,True,Wednesday,False,08:05:42.747210,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:07:46.122382+05:30,True,Wednesday,False,08:07:46.122382,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:08:51.095021+05:30,True,Wednesday,False,08:08:51.095021,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:15:32.400368+05:30,True,Wednesday,False,08:15:32.400368,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:17:00.288403+05:30,True,Wednesday,False,08:17:00.288403,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:21:06.683409+05:30,True,Wednesday,False,08:21:06.683409,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:23:08.194998+05:30,True,Wednesday,False,08:23:08.194998,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:31:04.447118+05:30,True,Wednesday,False,08:31:04.447118,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:31:49.742934+05:30,True,Wednesday,False,08:31:49.742934,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:37:04.440687+05:30,True,Wednesday,False,08:37:04.440687,8.0
2026-04-01,kadamba-nonveg,2026-04-01 08:38:03.115909+05:30,True,Wednesday,False,08:38:03.115909,8.0
