Date,Day,Dish 1,Dish 2,Lentil soup,Chutney 1,Chutney 2,Cereals,Bread Butter & Jam,Accompainment,Sprouts,Dairy 1,Dairy 2,Fruit,Non-Veg,Source
2026-04-01,Wednesday,Wada,,Sambar,Coconut Chutney,,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Peanuts,Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 1
2026-04-02,Thursday,Poori,,Aloo Baaji,,,Oats,"Bread, Butter & Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 1
2026-04-03,Friday,Poha,,Green Chutney,,,Chocos,"Bread, Butter & Jam",Karam Podi & Ghee,Black Channa Sprout,Milk (Whole),,Fresh Fruit (Banana),Boiled Eggs,XLSX: week 1
2026-04-04,Saturday,Thatte Idly,,,Peanut Chutney,Tomato Chutney,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Chickpeas,Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 1
2026-04-05,Sunday,Poori,,Aloo baaji,,,Museli,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Black Channa (Sundal),Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 2
2026-04-06,Monday,Button Idly,,Sambar,Peanut Chutney,,Chocos,"Bread, Butter, Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 2
2026-04-07,Tuesday,Punugulu,,,Peanut Chutney,,Museli,"Bread, Butter & Jam",Karam Podi & Ghee,Boiled Chickpeas,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 2
2026-04-08,Wednesday,Pongal,,Sambar,Coconut Chutney,,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Peanuts,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 2
2026-04-09,Thursday,Wada,,Sambar,Peanut Chutney,,Chocos,"Bread, Butter & Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 2
2026-04-10,Friday,Idly,,Sambar,Coconut Chutney,,Oats,"Bread, Butter & Jam",Karam Podi & Ghee,Black Channa Sprout,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 2
2026-04-11,Saturday,Thatte Idly,,Sambar,Peanut Chutney,,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Chickpeas,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 2
2026-04-12,Sunday,Wheat Upma,,,Peanut Chutney,,Museli,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Black Channa (Sundal),Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 3
2026-04-13,Monday,Idly,,Sambar,Coconut Chutney,,Chocos,"Bread, Butter, Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 3
2026-04-14,Tuesday,Pongal,,Sambar,Peanut Chutney,,Museli,"Bread, Butter & Jam",Karam Podi & Ghee,Boiled Chickpeas,Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 3
2026-04-15,Wednesday,Wada,,Sambar,Coconut Chutney,,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Peanuts,Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 3
2026-04-16,Thursday,Poori,,Aloo Baaji,,,Oats,"Bread, Butter & Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 3
2026-04-17,Friday,Poha,,Green Chutney,,,Chocos,"Bread, Butter & Jam",Karam Podi & Ghee,Black Channa Sprout,Milk (Whole),,Fresh Fruit (Banana),Boiled Eggs,XLSX: week 3
2026-04-18,Saturday,Thatte Idly,,,Peanut Chutney,Tomato Chutney,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Chickpeas,Milk (Whole),,Fresh Fruit,Boiled Eggs,XLSX: week 3
2026-04-19,Sunday,Poori,,Aloo baaji,,,Museli,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Black Channa (Sundal),Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 4
2026-04-20,Monday,Button Idly,,Sambar,Peanut Chutney,,Chocos,"Bread, Butter, Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 4
2026-04-21,Tuesday,Punugulu,,,Peanut Chutney,,Museli,"Bread, Butter & Jam",Karam Podi & Ghee,Boiled Chickpeas,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 4
2026-04-22,Wednesday,Pongal,,Sambar,Coconut Chutney,,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Peanuts,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 4
2026-04-23,Thursday,Wada,,Sambar,Peanut Chutney,,Chocos,"Bread, Butter & Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 4
2026-04-24,Friday,Idly,,Sambar,Coconut Chutney,,Oats,"Bread, Butter & Jam",Karam Podi & Ghee,Black Channa Sprout,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 4
2026-04-25,Saturday,Thatte Idly,,Sambar,Peanut Chutney,,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Chickpeas,Milk (Whole),Coffee,Fresh Fruit,Boiled Eggs,XLSX: week 4
2026-04-26,Sunday,Wada,Pongal,Samba,Peanut Chutney,,Museli,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Black Channa (Sundal),Milk (Whole),Tea Bag & Coffee Power,Fresh Fruit,Boiled Eggs,PDF: 26 Apr - 2 May
2026-04-27,Monday,Set Dosa,Poha,Sambar,Coconut Chutney,Ginger Chutney,Chocos,"Bread, Butter, Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),Tea Bag & Coffee Power,Fresh Fruit,Omlete,PDF: 26 Apr - 2 May
2026-04-28,Tuesday,Mysoore Bonda,Oats Upma,Sambar,Peanut Chutney,Ginger Chutney,Museli,"Bread, Butter & Jam",Karam Podi & Ghee,Boiled Chickpeas,Milk (Whole),Tea Bag & Coffee Power,Fresh Fruit,Boiled Eggs,PDF: 26 Apr - 2 May
2026-04-29,Wednesday,Idly,Semiya Bath,Sambar,Coconut Chutney,,Corn Flakes,"Bread, Butter Jam",Karam Podi & Ghee,Boiled Peanuts,Milk (Whole),Tea Bag & Coffee Power,Fresh Fruit,Omlete,PDF: 26 Apr - 2 May
2026-04-30,Thursday,Uttappam,Tomato Bath,Aloo Baaji,Peanut Chutney,,Oats,"Bread, Butter & Jam",Karam Podi & Ghee,Moongdal Sprouts,Milk (Whole),Tea Bag & Coffee Power,Fresh Fruit,Boiled Eggs,PDF: 26 Apr - 2 May
